category,total_repos,head_nightly_repos,ever_nightly_repos,head_nightly_ratio,ever_nightly_ratio
uncategorized,234,36,57,0.1538,0.2436
command-line-utilities,32,1,3,0.0312,0.0938
api-bindings,22,4,5,0.1818,0.2273
development-tools,15,3,5,0.2000,0.3333
data-structures,13,2,3,0.1538,0.2308
cryptography,13,5,8,0.3846,0.6154
asynchronous,12,2,4,0.1667,0.3333
concurrency,9,2,4,0.2222,0.4444
game-development,9,2,3,0.2222,0.3333
algorithms,9,0,1,0.0000,0.1111
simulation,8,1,1,0.1250,0.1250
os,8,1,2,0.1250,0.2500
email,8,2,2,0.2500,0.2500
science,8,1,1,0.1250,0.1250
encoding,8,1,2,0.1250,0.2500
embedded,8,1,1,0.1250,0.1250
network-programming,7,1,2,0.1429,0.2857
date-and-time,7,2,2,0.2857,0.2857
accessibility,7,1,1,0.1429,0.1429
memory-management,7,2,4,0.2857,0.5714
web-programming,7,1,2,0.1429,0.2857
parser-implementations,7,0,1,0.0000,0.1429
authentication,7,2,3,0.2857,0.4286
rendering,7,3,4,0.4286,0.5714
no-std,7,4,5,0.5714,0.7143
virtualization,7,1,3,0.1429,0.4286
localization,7,0,1,0.0000,0.1429
value-formatting,7,0,0,0.0000,0.0000
graphics,6,1,2,0.1667,0.3333
text-editors,6,2,2,0.3333,0.3333
rust-patterns,6,0,0,0.0000,0.0000
template-engine,6,0,1,0.0000,0.1667
compilers,6,0,1,0.0000,0.1667
aerospace,6,2,2,0.3333,0.3333
games,6,0,0,0.0000,0.0000
multimedia,6,1,1,0.1667,0.1667
finance,5,1,2,0.2000,0.4000
visualization,5,1,1,0.2000,0.2000
mathematics,5,2,3,0.4000,0.6000
database-implementations,5,1,2,0.2000,0.4000
game-engines,5,1,1,0.2000,0.2000
hardware-support,5,2,2,0.4000,0.4000
external-ffi-bindings,5,1,2,0.2000,0.4000
database,5,0,0,0.0000,0.0000
emulators,5,1,2,0.2000,0.4000
filesystem,5,1,3,0.2000,0.6000
parsing,5,1,2,0.2000,0.4000
wasm,5,2,3,0.4000,0.6000
gui,5,2,4,0.4000,0.8000
internationalization,4,1,2,0.2500,0.5000
text-processing,4,1,2,0.2500,0.5000
caching,4,1,2,0.2500,0.5000
computer-vision,3,0,0,0.0000,0.0000
config,3,0,1,0.0000,0.3333
automotive,2,0,0,0.0000,0.0000
compression,2,0,0,0.0000,0.0000
security,2,0,1,0.0000,0.5000
command-line-interface,2,0,1,0.0000,0.5000
