feature_name,head_repo_count
doc_cfg,54
doc_auto_cfg,18
test,16
allocator_api,9
generic_const_exprs,5
coverage_attribute,4
type_alias_impl_trait,4
associated_type_defaults,3
doc_cfg_hide,3
min_specialization,3
never_type,3
proc_macro_hygiene,3
specialization,3
stdsimd,3
trait_alias,3
adt_const_params,2
alloc_error_handler,2
const_generics_defaults,2
coroutine_trait,2
coroutines,2
decl_macro,2
explicit_tail_calls,2
extern_types,2
fundamental,2
generator_trait,2
generators,2
io_error_more,2
iter_advance_by,2
iter_intersperse,2
linkage,2
more_qualified_paths,2
proc_macro_diagnostic,2
rustc_private,2
stmt_expr_attributes,2
trim_prefix_suffix,2
abi_x86_interrupt,1
alloc_c_string,1
allow_internal_unstable,1
arbitrary_enum_discriminant,1
arbitrary_self_types,1
asm,1
asm_sym,1
associated_type_bounds,1
auto_traits,1
bound_cloned,1
box_into_inner,1
box_patterns,1
btree_extract_if,1
c_size_t,1
c_variadic,1
can_vector,1
cfg_attribute_in_where,1
cfg_match,1
const_fn,1
const_fn_trait_bound,1
const_generics,1
const_size_of_val,1
const_trait_impl,1
core_c_str,1
core_intrinsics,1
custom_attribute,1
custom_test_frameworks,1
darwin_objc,1
default_struct_values,1
derive_coerce_pointee,1
doc_notable_trait,1
drain_filter,1
dyn_star,1
dyn_trait,1
ergonomic_clones,1
error_generic_member_access,1
exact_size_is_empty,1
exclusive_range_pattern,1
external_doc,1
gen_blocks,1
generic_associated_types,1
generic_const_items,1
guard_patterns,1
if_while_or_patterns,1
impl_trait_in_assoc_type,1
inner_deref,1
integer_atomics,1
intra_doc_pointers,1
io_error_uncategorized,1
io_safety,1
iter_array_chunks,1
iter_from_generator,1
iterator_try_collect,1
label_break_value,1
lazy_type_alias,1
let_else,1
libc,1
linked_list_cursors,1
loop_break_value,1
macro_metavar_expr,1
map_try_insert,1
maybe_uninit_write_slice,1
min_type_alias_impl_trait,1
mut_ref,1
negative_impls,1
new_range_api,1
non_lifetime_binders,1
non_modrs_mods,1
option_flattening,1
option_result_contains,1
or_patterns,1
pin_ergonomics,1
plugin,1
postfix_match,1
proc_macro_tracked_env,1
ptr_metadata,1
ptr_wrapping_offset_from,1
pub_restricted,1
raw_identifiers,1
read_buf,1
register_attr,1
register_tool,1
rustdoc_internals,1
simd_wasm64,1
slice_concat_trait,1
slice_index_methods,1
slice_ptr_get,1
staged_api,1
stdarch_arm_neon_intrinsics,1
stdin_forwarders,1
str_split_remainder,1
strict_provenance_atomic_ptr,1
struct_field_attributes,1
trace_macros,1
track_path,1
trait_upcasting,1
try_blocks,1
try_find,1
type_ascription,1
underscore_imports,1
uniform_paths,1
unsafe_attributes,1
unsafe_binders,1
unsafe_extern_blocks,1
unsafe_fields,1
unsized_const_params,1
used,1
used_with_arg,1
vec_push_within_capacity,1
wasi_ext,1
with_negative_coherence,1
write_all_vectored,1
yield_expr,1
