feature_name,ever_repo_count
test,155
doc_cfg,131
doc_auto_cfg,71
plugin,69
core,68
std_misc,47
collections,45
macro_rules,41
io,37
path,30
proc_macro,29
rustc_private,28
custom_derive,27
phase,27
associated_types,24
const_fn,23
slicing_syntax,21
specialization,21
async_await,20
old_orphan_check,20
plugin_registrar,20
alloc,19
default_type_params,19
globs,19
hash,18
unboxed_closures,18
core_intrinsics,17
i128_type,17
os,17
libc,16
proc_macro_hygiene,16
lang_items,15
unicode,15
allocator_api,14
convert,14
try_from,14
box_syntax,13
custom_attribute,13
unsafe_destructor,13
never_type,12
asm,11
external_doc,11
old_io,11
rustc_macro,11
alloc_error_handler,10
backtrace,10
conservative_impl_trait,10
env,10
fs,10
stdsimd,10
trace_macros,10
try_trait,10
no_std,9
rand,9
rustc_macro_lib,9
staged_api,9
box_patterns,8
error_generic_member_access,8
old_path,8
optin_builtin_traits,8
proc_macro_diagnostic,8
quote,8
arbitrary_self_types,7
decl_macro,7
i128,7
min_specialization,7
nll,7
rustc_attrs,7
thread_local,7
type_alias_impl_trait,7
coverage_attribute,6
if_let,6
int_uint,6
negative_impls,6
pattern,6
portable_simd,6
proc_macro_span,6
provide_any,6
repr_simd,6
slice_patterns,6
trait_alias,6
use_extern_macros,6
async_closure,5
cfg_target_feature,5
custom_inner_attributes,5
generic_associated_types,5
integer_atomics,5
let_chains,5
panic_info_message,5
start,5
associated_type_bounds,4
auto_traits,4
await_macro,4
buf_read_has_data_left,4
compiler_builtins_lib,4
fn_traits,4
futures_api,4
generator_trait,4
generators,4
generic_const_exprs,4
link_llvm_intrinsics,4
no_core,4
option_result_contains,4
prelude_import,4
step_by,4
stmt_expr_attributes,4
tool_lints,4
unique,4
wasm_custom_section,4
wasm_import_module,4
attr_literals,3
augmented_assignments,3
cfg_target_has_atomic,3
concat_idents,3
const_generics,3
const_mut_refs,3
const_option,3
custom_test_frameworks,3
doc_cfg_hide,3
drain_filter,3
error_in_core,3
exit_status,3
extern_crate_item_prelude,3
fs_ext,3
fs_walk,3
global_asm,3
hashmap_hasher,3
inner_deref,3
iter_intersperse,3
iterator_try_collect,3
linkage,3
macro_reexport,3
maybe_uninit_slice,3
maybe_uninit_uninit_array,3
min_type_alias_impl_trait,3
mpsc_select,3
naked_functions,3
new_uninit,3
non_exhaustive,3
option_flattening,3
overloaded_calls,3
path_ext,3
platform_intrinsics,3
proc_macro_lib,3
proc_macro_non_items,3
process,3
ptr_metadata,3
read_buf,3
recover,3
simd_ffi,3
slice_ptr_get,3
slice_ptr_len,3
str_words,3
struct_variant,3
time2,3
unsafe_no_drop_flag,3
untagged_unions,3
vec_into_raw_parts,3
Serde,2
a,2
abi_vectorcall,2
alloc_layout_extra,2
alloc_prelude,2
append,2
arc_new_cyclic,2
array_chunks,2
asm_experimental_arch,2
assert_matches,2
async_stream,2
binary_heap_as_slice,2
box_into_inner,2
box_raw,2
cfg_sanitize,2
compiler,2
const_evaluatable_checked,2
const_fn_floating_point_arithmetic,2
const_nonnull_new,2
const_ptr_as_ref,2
const_ptr_null_mut,2
const_size_of,2
const_unsafe_cell_new,2
const_vec_new,2
core_float,2
core_slice_ext,2
crate_visibility_modifier,2
cursor_remaining,2
destructuring_assignment,2
diagnostic_namespace,2
drain,2
dropck_eyepatch,2
duration,2
duration_constants,2
duration_constructors,2
extend_one,2
extern_prelude,2
float_bits_conv,2
fmt_internals,2
fnbox,2
fs_time,2
get_mut_unchecked,2
hasher_prefixfree_extras,2
heap_api,2
if_let_guard,2
impl_trait_in_assoc_type,2
int_roundings,2
into_cow,2
ip,2
iter_cmp,2
iter_next_chunk,2
iterator_try_reduce,2
layout_for_ptr,2
link_cfg,2
macro_attributes_in_derive_output,2
managed_boxes,2
map_first_last,2
map_try_insert,2
nightly,2
no_coverage,2
non_exhaustive_omitted_patterns_lint,2
nonnull_slice_from_raw_parts,2
nonzero,2
old_impl_check,2
once_cell,2
op_assign_traits,2
or_patterns,2
panic_implementation,2
panic_propagate,2
