feature_name,num_repos,num_still_present,num_retired,min_first_seen_date,max_first_seen_date,min_last_seen_date,max_last_seen_date,avg_lifetime_days,median_lifetime_days
Serde,1,0,1,2017-10-22T22:46:17+00:00,2017-10-22T22:46:17+00:00,2019-05-06T17:25:47+00:00,2019-05-06T17:25:47+00:00,560.00,560.00
a,1,0,1,2017-10-22T22:46:17+00:00,2017-10-22T22:46:17+00:00,2019-05-06T17:25:47+00:00,2019-05-06T17:25:47+00:00,560.00,560.00
aarch64_target_feature,2,0,2,2019-01-19T04:01:11+00:00,2022-07-05T14:15:53+00:00,2024-01-23T17:31:27+00:00,2024-01-23T17:31:27+00:00,567.00,567.00
abi_efiapi,1,0,1,2020-08-27T09:09:24+00:00,2020-08-27T09:09:24+00:00,2024-12-13T11:17:33+00:00,2024-12-13T11:17:33+00:00,1569.00,1569.00
abi_thiscall,1,0,1,2022-11-22T13:32:29+00:00,2022-11-22T13:32:29+00:00,2023-08-13T07:05:04+00:00,2023-08-13T07:05:04+00:00,263.00,263.00
abi_x86_interrupt,1,1,0,2023-11-05T15:07:25+00:00,2023-11-05T15:07:25+00:00,2025-07-27T12:16:28+00:00,2025-07-27T12:16:28+00:00,629.00,629.00
addr_parse_ascii,1,0,1,2023-04-12T17:21:54+00:00,2023-04-12T17:21:54+00:00,2023-08-04T04:49:21+00:00,2023-08-04T04:49:21+00:00,113.00,113.00
adt_const_params,2,2,0,2023-01-18T21:05:34+00:00,2024-05-13T11:41:59+00:00,2025-08-19T06:26:08+00:00,2025-11-19T02:17:02+00:00,748.50,748.50
align_offset,1,0,1,2018-10-31T19:31:30+00:00,2018-10-31T19:31:30+00:00,2022-06-13T16:03:43+00:00,2022-06-13T16:03:43+00:00,1320.00,1320.00
alloc,15,0,15,2015-04-14T00:04:52+00:00,2021-02-21T07:05:41+00:00,2015-05-07T10:37:31+00:00,2022-12-20T12:21:12+00:00,655.38,578.00
alloc_c_string,1,1,0,2022-07-05T16:26:20+00:00,2022-07-05T16:26:20+00:00,2025-11-18T19:08:08+00:00,2025-11-18T19:08:08+00:00,1232.00,1232.00
alloc_error_handler,10,2,8,2018-07-11T13:40:33+00:00,2025-02-07T18:18:34+00:00,2020-08-27T09:09:24+00:00,2025-11-19T17:59:58+00:00,792.29,480.00
alloc_system,1,0,1,2017-07-03T15:09:47+00:00,2017-07-03T15:09:47+00:00,2018-09-27T23:23:18+00:00,2018-09-27T23:23:18+00:00,451.00,451.00
allocator_api,14,9,5,2018-01-08T15:48:45+00:00,2025-10-30T12:51:17+00:00,2018-06-13T15:03:43+00:00,2025-11-19T22:03:41+00:00,481.42,328.50
allow_internal_unstable,1,1,0,2019-06-08T09:47:18+00:00,2019-06-08T09:47:18+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,2338.00,2338.00
arbitrary_enum_discriminant,1,1,0,2019-09-04T14:01:04+00:00,2019-09-04T14:01:04+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,2250.00,2250.00
arbitrary_self_types,1,0,1,2019-04-22T08:13:40+00:00,2019-04-22T08:13:40+00:00,2019-04-26T12:06:58+00:00,2019-04-26T12:06:58+00:00,4.00,4.00
arc_unwrap_or_clone,1,0,1,2023-02-13T00:28:12+00:00,2023-02-13T00:28:12+00:00,,,,
array_value_iter,1,0,1,2021-04-22T01:09:50+00:00,2021-04-22T01:09:50+00:00,,,,
asm,7,1,6,2017-07-31T06:37:37+00:00,2022-01-06T08:30:16+00:00,2017-11-25T01:19:14+00:00,2025-11-19T13:05:16+00:00,574.33,114.00
asm_experimental_arch,2,0,2,2023-07-03T11:01:16+00:00,2024-04-01T04:30:25+00:00,2024-10-13T20:44:47+00:00,2024-10-13T20:44:47+00:00,195.00,195.00
asm_sym,1,1,0,2022-03-02T22:05:51+00:00,2022-03-02T22:05:51+00:00,2025-11-04T03:44:24+00:00,2025-11-04T03:44:24+00:00,1342.00,1342.00
assert_matches,1,0,1,2022-06-12T21:31:39+00:00,2022-06-12T21:31:39+00:00,2022-06-12T21:42:35+00:00,2022-06-12T21:42:35+00:00,0.00,0.00
associated_type_bounds,1,1,0,2019-06-29T15:11:20+00:00,2019-06-29T15:11:20+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,2317.00,2317.00
associated_type_defaults,3,3,0,2017-05-26T08:17:12+00:00,2024-09-08T20:42:50+00:00,2024-05-04T21:21:16+00:00,2025-11-01T20:24:49+00:00,1527.00,1284.00
associated_types,5,0,5,2014-10-22T19:45:36+00:00,2015-01-05T06:14:35+00:00,2015-01-07T17:30:11+00:00,2015-01-13T13:58:16+00:00,19.40,3.00
async_await,3,0,3,2019-05-23T07:23:06+00:00,2019-09-16T09:08:44+00:00,2019-08-21T18:10:03+00:00,2019-12-10T11:12:34+00:00,60.33,85.00
async_closure,2,0,2,2020-06-24T18:06:05+00:00,2022-05-07T05:05:52+00:00,2020-10-15T14:25:14+00:00,2023-08-04T04:49:21+00:00,282.50,282.50
attr_literals,2,0,2,2017-07-31T06:37:37+00:00,2017-08-25T21:21:19+00:00,2017-11-25T01:19:14+00:00,2022-06-13T16:03:43+00:00,934.00,934.00
auto_traits,2,1,1,2021-06-13T09:36:59+00:00,2022-04-21T15:19:28+00:00,2025-11-04T03:44:24+00:00,2025-11-04T03:44:24+00:00,1604.00,1604.00
