key,owner,repo,crate_names,status,attempts,last_error,last_attempt_ts
0skar16/h264bsd-rs,0skar16,h264bsd-rs,h264bsd-sys,success,1,,2025-11-28T04:39:54Z
0x61nas/pinterest-login,0x61nas,pinterest-login,pinterest-login,pending,0,,
0x676e67/http2,0x676e67,http2,http2,success,1,,2025-11-20T00:35:27Z
0x676e67/rquest,0x676e67,rquest,rquest,pending,0,,
0xC0DE666/query-x,0xC0DE666,query-x,query-x,pending,0,,
0xPlaygrounds/rig,0xPlaygrounds,rig,rig-scylladb,success,1,,2025-11-28T04:39:14Z
0xSiO/bolt-rs,0xSiO,bolt-rs,deadpool-bolt,pending,0,,
0xfalafel/xxr,0xfalafel,xxr,xxr,pending,0,,
0xfrej/vlcb-defs-rs,0xfrej,vlcb-defs-rs,vlcb-defs,failed,1,git clone failed: Cloning into 'repos/0xfrej/vlcb-defs-rs'... | remote: Repository not found. | fatal: repository 'https://github.com/0xfrej/vlcb-defs-rs.git/' not found,2025-11-28T04:38:57Z
0xparc/parcnet,0xparc,parcnet,parcnet,pending,0,,
0xperp/new_age_greeks,0xperp,new_age_greeks,defi_greeks,pending,0,,
10XGenomics/rust-toolbox,10XGenomics,rust-toolbox,pretty_trace,success,1,,2025-11-20T00:33:09Z
1KINGO1/my_parser_kma_lys_taras,1KINGO1,my_parser_kma_lys_taras,my_parser_kma_lys_taras,failed,1,git clone failed: Cloning into 'repos/1KINGO1/my_parser_kma_lys_taras'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/1KINGO1/my_parser_kma_lys_taras.git/',2025-11-28T04:38:41Z
2zh/feishu-bot,2zh,feishu-bot,lark_bot,failed,1,git clone failed: Cloning into 'repos/2zh/feishu-bot'... | remote: Repository not found. | fatal: repository 'https://github.com/2zh/feishu-bot.git/' not found,2025-11-28T04:39:05Z
3Hren/msgpack-rust,3Hren,msgpack-rust,rmp-serde,success,1,,2025-11-28T04:37:33Z
42ByteLabs/geekorm,42ByteLabs,geekorm,geekorm-cli,success,1,,2025-11-28T04:41:34Z
4r33x/proto_rs,4r33x,proto_rs,proto_rs,failed,1,git clone failed: Cloning into 'repos/4r33x/proto_rs'... | remote: Repository not found. | fatal: repository 'https://github.com/4r33x/proto_rs.git/' not found,2025-11-28T04:40:58Z
4t145/hot-sauce,4t145,hot-sauce,hot_sauce,success,1,,2025-11-28T04:38:49Z
4tkbytes/proton-sdk-rs,4tkbytes,proton-sdk-rs,proton-sdk-rs,success,1,,2025-11-20T00:44:14Z
64bit/async-openai,64bit,async-openai,async-openai-macros,pending,0,,
772/hyperlink-one-time-pad,772,hyperlink-one-time-pad,hyperlink-one-time-pad,pending,0,,
7sDream/amiya,7sDream,amiya,amiya,success,1,,2025-11-28T04:40:02Z
89z/sophia,89z,sophia,s8,pending,0,,
997R8V10/aviation-calc-util,997R8V10,aviation-calc-util,aviation_calc_util,success,1,,2025-11-20T00:41:15Z
