feature,first_appearance_version,first_appearance_date,first_appearance_status,first_unstable_version,first_unstable_date,last_unstable_version,last_unstable_date,stabilized_version,stabilized_date,removed_version,removed_date,latest_status,latest_version,latest_version_date
aarch64_target_feature,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
aarch64_unstable_target_feature,1.82.0,2024-10-17,unstable,1.82.0,2024-10-17,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
aarch64_ver_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_amdgpu_kernel,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.76.0,2024-02-08,,,1.77.0,2024-03-21,removed,1.77.0,2024-03-21
abi_avr_interrupt,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_c_cmse_nonsecure_call,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.89.0,2025-08-07,,,1.90.0,2025-09-18,removed,1.90.0,2025-09-18
abi_cmse_nonsecure_call,1.90.0,2025-09-18,unstable,1.90.0,2025-09-18,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_custom,1.89.0,2025-08-07,unstable,1.89.0,2025-08-07,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_efiapi,1.68.0,2023-03-09,accepted,1.68.0,2023-03-09,,,1.68.0,2023-03-09,,,accepted,1.68.0,2023-03-09
abi_gpu_kernel,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_msp430_interrupt,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_ptx,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_riscv_interrupt,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_sysv64,1.24.0,2018-02-15,accepted,1.24.0,2018-02-15,,,1.24.0,2018-02-15,,,accepted,1.24.0,2018-02-15
abi_thiscall,1.73.0,2023-10-05,accepted,1.73.0,2023-10-05,,,1.73.0,2023-10-05,,,accepted,1.73.0,2023-10-05
abi_unadjusted,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
abi_vectorcall,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
abi_x86_interrupt,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
adt_const_params,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
advanced_slice_patterns,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.42.0,2020-03-12
adx_target_feature,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
alloc_error_handler,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
allocator,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
allocator_internals,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
allow_fail,1.19.0,2017-07-20,removed,1.19.0,2017-07-20,,,,,1.19.0,2017-07-20,removed,1.60.0,2022-04-07
allow_internal_unsafe,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
allow_internal_unstable,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
anonymous_lifetime_in_impl_trait,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
apx_target_feature,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
arbitrary_enum_discriminant,1.66.0,2022-12-15,accepted,1.66.0,2022-12-15,,,1.66.0,2022-12-15,,,accepted,1.66.0,2022-12-15
arbitrary_self_types,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
arbitrary_self_types_pointers,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
arm_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
asm_cfg,1.89.0,2025-08-07,unstable,1.89.0,2025-08-07,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
asm_const,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.81.0,2024-09-05,1.82.0,2024-10-17,,,accepted,1.82.0,2024-10-17
asm_experimental_arch,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
asm_experimental_reg,1.85.0,2025-02-20,unstable,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
asm_goto,1.78.0,2024-05-02,unstable,1.78.0,2024-05-02,1.86.0,2025-04-03,1.87.0,2025-05-15,,,accepted,1.87.0,2025-05-15
asm_goto_with_outputs,1.85.0,2025-02-20,unstable,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
asm_sym,1.66.0,2022-12-15,accepted,1.66.0,2022-12-15,,,1.66.0,2022-12-15,,,accepted,1.66.0,2022-12-15
asm_unwind,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
associated_const_equality,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
associated_consts,1.20.0,2017-08-31,accepted,1.20.0,2017-08-31,,,1.20.0,2017-08-31,,,accepted,1.20.0,2017-08-31
associated_type_bounds,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.78.0,2024-05-02,1.79.0,2024-06-13,,,accepted,1.79.0,2024-06-13
associated_type_defaults,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
associated_types,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.0.0,2015-05-15
async_await,1.39.0,2019-11-07,accepted,1.39.0,2019-11-07,,,1.39.0,2019-11-07,,,accepted,1.39.0,2019-11-07
async_closure,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.84.1,2025-01-30,1.85.0,2025-02-20,,,accepted,1.85.0,2025-02-20
async_drop,1.88.0,2025-06-26,incomplete,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
async_fn_in_dyn_trait,1.85.0,2025-02-20,incomplete,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
async_fn_in_trait,1.75.0,2023-12-28,accepted,1.75.0,2023-12-28,,,1.75.0,2023-12-28,,,accepted,1.75.0,2023-12-28
async_fn_track_caller,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
async_for_loop,1.77.0,2024-03-21,unstable,1.77.0,2024-03-21,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
async_trait_bounds,1.85.0,2025-02-20,unstable,1.85.0,2025-02-20,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
attr_literals,1.30.0,2018-10-25,accepted,1.30.0,2018-10-25,,,1.30.0,2018-10-25,,,accepted,1.30.0,2018-10-25
augmented_assignments,1.8.0,2016-04-14,accepted,1.8.0,2016-04-14,,,1.8.0,2016-04-14,,,accepted,1.8.0,2016-04-14
auto_traits,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
avx10_target_feature,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
avx512_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.88.0,2025-06-26,1.89.0,2025-08-07,,,accepted,1.89.0,2025-08-07
await_macro,1.38.0,2019-09-26,removed,1.38.0,2019-09-26,,,,,1.38.0,2019-09-26,removed,1.38.0,2019-09-26
bind_by_move_pattern_guards,1.39.0,2019-11-07,accepted,1.39.0,2019-11-07,,,1.39.0,2019-11-07,,,accepted,1.39.0,2019-11-07
bindings_after_at,1.56.0,2021-10-21,accepted,1.56.0,2021-10-21,,,1.56.0,2021-10-21,,,accepted,1.56.0,2021-10-21
box_patterns,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
box_syntax,1.70.0,2023-06-01,removed,1.70.0,2023-06-01,,,,,1.70.0,2023-06-01,removed,1.70.0,2023-06-01
bpf_target_feature,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
braced_empty_structs,1.8.0,2016-04-14,accepted,1.8.0,2016-04-14,,,1.8.0,2016-04-14,,,accepted,1.8.0,2016-04-14
builtin_syntax,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
c_str_literals,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.76.0,2024-02-08,1.77.0,2024-03-21,,,accepted,1.77.0,2024-03-21
c_unwind,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.80.1,2024-08-08,1.81.0,2024-09-05,,,accepted,1.81.0,2024-09-05
c_variadic,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
capture_disjoint_fields,1.49.0,2020-12-31,removed,1.49.0,2020-12-31,,,,,1.49.0,2020-12-31,removed,1.69.0,2023-04-20
cfg_attr_multi,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
cfg_boolean_literals,1.83.0,2024-11-28,unstable,1.83.0,2024-11-28,1.87.0,2025-05-15,1.88.0,2025-06-26,,,accepted,1.88.0,2025-06-26
cfg_contract_checks,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_doctest,1.40.0,2019-12-19,accepted,1.40.0,2019-12-19,,,1.40.0,2019-12-19,,,accepted,1.40.0,2019-12-19
cfg_emscripten_wasm_eh,1.86.0,2025-04-03,internal,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
cfg_overflow_checks,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_panic,1.60.0,2022-04-07,accepted,1.60.0,2022-04-07,,,1.60.0,2022-04-07,,,accepted,1.60.0,2022-04-07
cfg_relocation_model,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_sanitize,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_sanitizer_cfi,1.77.0,2024-03-21,unstable,1.77.0,2024-03-21,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_target_abi,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.77.2,2024-04-09,1.78.0,2024-05-02,,,accepted,1.78.0,2024-05-02
cfg_target_compact,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_target_feature,1.27.0,2018-06-21,accepted,1.27.0,2018-06-21,,,1.27.0,2018-06-21,,,accepted,1.27.0,2018-06-21
cfg_target_has_atomic,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_target_has_atomic_equal_alignment,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_target_has_reliable_f16_f128,1.88.0,2025-06-26,internal,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
cfg_target_thread_local,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_target_vendor,1.33.0,2019-02-28,accepted,1.33.0,2019-02-28,,,1.33.0,2019-02-28,,,accepted,1.33.0,2019-02-28
cfg_ub_checks,1.79.0,2024-06-13,unstable,1.79.0,2024-06-13,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfg_version,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cfi_encoding,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
clone_closures,1.26.0,2018-05-10,accepted,1.26.0,2018-05-10,,,1.26.0,2018-05-10,,,accepted,1.26.0,2018-05-10
closure_lifetime_binder,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
closure_to_fn_coercion,1.19.0,2017-07-20,accepted,1.19.0,2017-07-20,,,1.19.0,2017-07-20,,,accepted,1.19.0,2017-07-20
closure_track_caller,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
cmpxchg16b_target_feature,1.69.0,2023-04-20,accepted,1.69.0,2023-04-20,,,1.69.0,2023-04-20,,,accepted,1.69.0,2023-04-20
