crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
771233,debug-adapter-protocol,https://github.com/vanilla-technologies/debug-adapter-protocol,2794,api-bindings,"api-bindings,development-tools::debugging",2023,2023,low
533071,rester,https://github.com/kinyoklion/rester,11904,uncategorized,,2023,2023,mid
532088,wselector,https://github.com/wSelector,2141,command-line-interface,"command-line-interface,command-line-utilities",2022,2022,low
1030376,awzod,https://github.com/orzklv/awesome-shakhzod,5399,uncategorized,,2024,2024,mid
1184300,bgpsim,https://github.com/nsg-ethz/bgpsim,15844,simulation,simulation,2025,2025,mid
1805853,rs-voice-toolkit-stt,https://github.com/soddygo/rs-voice-toolkit,3518,api-bindings,"api-bindings,multimedia::audio",2025,2025,low
1749680,world-shipping,https://github.com/franzos/world-tax-rs,1034,finance,finance,2025,2025,low
872272,mixnet,https://github.com/paritytech/mixnet/,3735417,asynchronous,"asynchronous,network-programming",2023,2023,high
1843437,kotoba-state-graph,https://github.com/com-junkawasaki/kotoba,821,data-structures,"data-structures,gui",2025,2025,low
749363,lang_pt,https://github.com/creative-forest/lang-pt,4860,uncategorized,,2023,2023,low
893778,bevy_b3d,https://github.com/scpcbredux/b3d/,9045,uncategorized,,2024,2024,mid
601173,tetris-cli,https://github.com/blueOkiris/tetris-cli,5065,uncategorized,,2023,2023,mid
1565423,zhixiang,https://github.com/Icemic/zhixiang,775,uncategorized,,2025,2025,low
361743,lfest,https://github.com/MathisWellmann/lfest-rs,228435,finance,"finance,simulation",2024,2024,high
1866103,multi-rpc,https://github.com/dan-da/multi-rpc,992,network-programming,"network-programming,web-programming",2025,2025,low
1416281,alum,https://github.com/ranjeethmahankali/alum,11507,graphics,"graphics,mathematics,rendering",2025,2025,mid
1849586,leptos-helios-app,https://github.com/cloud-shuttle/leptos-helios,293,visualization,"visualization,web-programming",2025,2025,low
564927,gid_cli,https://github.com/k-nasa/gid,5688,command-line-utilities,"command-line-utilities,development-tools",2022,2022,mid
80474,windows-acl,https://github.com/trailofbits/windows-acl,922440,os,"os,os::windows-apis",2021,2021,high
1534718,mdedit,https://github.com/thscharler/mdedit,10705,text-editors,text-editors,2025,2025,mid
1670900,tinc-derive,https://github.com/scufflecloud/scuffle,6711,uncategorized,,2025,2025,mid
1664645,clock-bound-vmclock,https://github.com/aws/clock-bound,2481,date-and-time,date-and-time,2025,2025,low
1715655,ironrdp-dvc-pipe-proxy,https://github.com/Devolutions/IronRDP,1233,network-programming,network-programming,2025,2025,low
1306163,tracing-layer-win-eventlog,https://github.com/itsscb/tracing-layer-win-eventlog,6220,os,os::windows-apis,2025,2025,mid
941060,stardict_lib,https://github.com/zangloo/stardict.git,3631,uncategorized,,2023,2023,low
649040,dac,https://github.com/vigenere23/disma,12893,command-line-utilities,"command-line-utilities,config",2022,2022,mid
1020282,subversion,https://github.com/jelmer/subversion-rs.git,10323,uncategorized,,2024,2024,mid
3673,downcast-rs,https://github.com/marcianx/downcast-rs,76181362,rust-patterns,rust-patterns,2025,2025,high
1532504,ellip,https://github.com/p-sira/ellip,12132,mathematics,"mathematics,science",2025,2025,mid
1615987,shiguredo_libvpx,https://github.com/shiguredo/hisui,2654,uncategorized,,2025,2025,low
379392,shared-resource-pool-builder,https://github.com/FloGa/shared-resource-pool-builder,4080,concurrency,concurrency,2022,2022,low
414177,pliantdb-macros,https://github.com/khonsulabs/pliantdb,1990,database-implementations,database-implementations,2021,2023,low
926110,find_duplicate_files,https://github.com/claudiofsr/find_duplicate_files,152043,command-line-utilities,command-line-utilities,2024,2024,high
1761792,orthanc_sdk,https://github.com/FNNDSC/orthanc-rs,3528,api-bindings,"api-bindings,science,science::neuroscience",2025,2025,low
1313103,tavla,https://github.com/GiftofHermes/tavla,1228,simulation,simulation,2024,2024,low
1220663,revm-fork-db,https://github.com/fuzzland/revm-fork-db,4046,uncategorized,,2024,2024,low
1847272,f-ck,https://github.com/arlyon/f-ck,321,uncategorized,,2025,2025,low
525430,test_logs,https://github.com/release-plz/release-plz/tree/main/crates/test_logs,37692,development-tools,"development-tools,development-tools::testing",2025,2025,high
291540,softfloat-wrapper-riscv,https://github.com/msyksphinz-self/softfloat-sys-riscv,1840,api-bindings,"api-bindings,mathematics",2020,2020,low
912110,mathguru,https://github.com/J-F-Liu/mathguru.git,2758,mathematics,"mathematics,science",2023,2023,low
153553,fluent-resmgr,https://github.com/projectfluent/fluent-rs,18385,internationalization,"internationalization,localization",2025,2025,mid
252875,rtic-syntax,https://github.com/rtic-rs/rtic-syntax,823955,concurrency,"concurrency,embedded,no-std",2023,2023,high
1793890,rsomeip-bytes,https://github.com/brunoldsilva/rsomeip,439,automotive,automotive,2025,2025,low
898413,dispo,https://github.com/ynuwenhof/dispo,2923,email,email,2023,2023,low
1890763,cargo-imagermachine,https://github.com/MassivDash/cargo-imagermachine,181,command-line-utilities,"command-line-utilities,compression,multimedia::images",2025,2025,low
965104,rustpython-stdlib,https://github.com/RustPython/RustPython,43181,uncategorized,,2024,2024,high
1768573,volli,https://github.com/wouterken/volli,781,command-line-utilities,"command-line-utilities,network-programming",2025,2025,low
105034,libp2p-mdns,https://github.com/libp2p/rust-libp2p,10752059,asynchronous,"asynchronous,network-programming",2025,2025,high
951430,sunscreen_curve25519,https://github.com/zkcrypto/curve25519-dalek-ng,5460,cryptography,"cryptography,no-std",2023,2023,mid
446513,pipeamqp,https://github.com/pipebase/pipebase,5614,uncategorized,,2021,2021,mid
378577,kolor-64,https://github.com/kabergstrom/kolor,14388,computer-vision,"computer-vision,graphics",2023,2023,mid
1851698,hysteria2,https://github.com/i18n-site/rust.git,1718,uncategorized,,2025,2025,low
671177,rusty-todo,https://github.com/dvidbruhm/rusty-todo,1509,command-line-utilities,command-line-utilities,2022,2022,low
32862,libimagentryref,https://github.com/matthiasbeyer/imag,29045,uncategorized,,2020,2020,high
332506,smt2parser,https://github.com/facebookincubator/smt2utils,511933,science,science,2021,2021,high
1598576,incodoc,https://github.com/codybloemhard/incodoc,2256,accessibility,"accessibility,parser-implementations",2025,2025,low
